[10240, 10240, 0.0]
[128, 9868, 0.0]
[2266, 10240, 0.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[128, 10240, 0.0]
[6385, 10240, 1.0]
[128, 9441, 1.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[1544, 9139, 1.0]
[128, 5624, 1.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[7077, 9915, 1.0]
[128, 10240, 1.0]
[6862, 7607, 1.0]
[8507, 10240, 0.0]
[9292, 10240, 0.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[128, 3997, 1.0]
[6073, 10240, 0.0]
[128, 8316, 1.0]
[10240, 10240, 0.0]
[128, 767, 0.0]
[128, 2087, 1.0]
[8959, 10240, 1.0]
[10240, 10240, 0.0]
[7904, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[2204, 10240, 1.0]
[10240, 10240, 1.0]
[2014, 6275, 1.0]
[8010, 10240, 0.0]
[128, 5475, 1.0]
[6290, 9827, 0.0]
[888, 7582, 0.0]
[10240, 10240, 1.0]
[9612, 10240, 1.0]
[128, 10240, 1.0]
[6690, 10240, 0.0]
[128, 6482, 0.0]
[7829, 10240, 0.0]
[2952, 10240, 1.0]
[5589, 9095, 0.0]
[10240, 10240, 1.0]
[2, 10240, 1.0]
[5768, 10240, 1.0]
[128, 4568, 1.0]
[128, 10240, 0.0]
[1333, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[128, 3882, 1.0]
[4058, 10240, 1.0]
[128, 8798, 1.0]
[128, 10240, 0.0]
[4677, 10240, 1.0]
[10240, 10240, 0.0]
[6084, 10240, 0.0]
[4779, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[128, 3284, 0.0]
[6477, 10240, 1.0]
[128, 10240, 1.0]
[5700, 10240, 1.0]
[9956, 10240, 1.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[128, 10240, 0.0]
[7840, 10240, 0.0]
[3432, 10240, 0.0]
[4525, 10240, 0.0]
[128, 4196, 0.0]
[128, 9063, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[5066, 10240, 1.0]
[128, 10129, 1.0]
[1520, 8837, 0.0]
[7741, 10240, 1.0]
[8640, 10037, 0.0]
[128, 4452, 0.0]
[128, 9794, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[869, 10240, 0.0]
[8094, 10240, 0.0]
[128, 10175, 0.0]
[7809, 10240, 1.0]
[128, 10240, 0.0]
[128, 10240, 0.0]
[8699, 10127, 1.0]
[4529, 10240, 1.0]
[128, 10240, 0.0]
[128, 7113, 1.0]
[4526, 10240, 1.0]
[10240, 10240, 1.0]
[5538, 10240, 1.0]
[1858, 7797, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[128, 5695, 0.0]
[128, 10240, 1.0]
[8263, 10240, 1.0]
[128, 6974, 0.0]
[10240, 10240, 0.0]
[128, 7697, 0.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[4452, 10240, 0.0]
[128, 10240, 1.0]
[6577, 10240, 0.0]
[128, 8087, 0.0]
[8705, 10240, 0.0]
[2, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[5973, 6005, 1.0]
[5249, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[128, 10240, 1.0]
[128, 9204, 1.0]
[128, 10240, 0.0]
[3090, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[128, 10240, 0.0]
[7376, 10240, 1.0]
[3481, 10240, 1.0]
[7987, 10240, 0.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[128, 3118, 0.0]
[5028, 10240, 0.0]
[3381, 10240, 1.0]
[128, 10240, 1.0]
[4882, 9291, 0.0]
[8524, 10240, 0.0]
[3704, 4770, 0.0]
[128, 6912, 0.0]
[128, 8762, 1.0]
[7413, 9652, 0.0]
[128, 10240, 1.0]
[4674, 10240, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[128, 9787, 0.0]
[6345, 10240, 1.0]
[7729, 10240, 0.0]
[128, 10240, 1.0]
[9477, 10240, 1.0]
[128, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[5087, 10240, 1.0]
[5437, 10240, 0.0]
[2966, 10240, 1.0]
[3422, 10240, 0.0]
[128, 5197, 0.0]
[3670, 9104, 1.0]
[7291, 10240, 1.0]
[128, 6856, 1.0]
[10240, 10240, 1.0]
[128, 7755, 0.0]
[6915, 10240, 0.0]
[10240, 10240, 0.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[942, 7139, 1.0]
[9493, 10240, 0.0]
[6936, 10240, 1.0]
[128, 5373, 0.0]
[128, 5297, 1.0]
[10240, 10240, 0.0]
[423, 9590, 0.0]
[8910, 10240, 1.0]
[128, 10240, 1.0]
[6937, 10240, 0.0]
[1474, 8229, 0.0]
[10240, 10240, 1.0]
[2836, 10240, 1.0]
[10240, 10240, 1.0]
[128, 10240, 0.0]
[128, 8416, 0.0]
[7635, 10240, 1.0]
[128, 10240, 1.0]
[6353, 9188, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[7297, 10240, 0.0]
[128, 10240, 0.0]
[1856, 10240, 0.0]
[5486, 10240, 1.0]
[5934, 10240, 1.0]
[128, 9826, 0.0]
[128, 6924, 1.0]
[128, 8233, 0.0]
